country,country_url,province,province_url,city,city_url
Canada,https://www.yellowpages.ca/locations/,Nova Scotia,https://www.yellowpages.ca/locations/Nova-Scotia,Windsor,https://www.yellowpages.ca/locations/Nova-Scotia/Windsor/
Canada,https://www.yellowpages.ca/locations/,Nova Scotia,https://www.yellowpages.ca/locations/Nova-Scotia,Upper Grand Mira,https://www.yellowpages.ca/locations/Nova-Scotia/Upper+Grand+Mira/
Canada,https://www.yellowpages.ca/locations/,Nova Scotia,https://www.yellowpages.ca/locations/Nova-Scotia,Upper Kennetcook,https://www.yellowpages.ca/locations/Nova-Scotia/Upper+Kennetcook/
Canada,https://www.yellowpages.ca/locations/,Nova Scotia,https://www.yellowpages.ca/locations/Nova-Scotia,Upper Leitches Creek,https://www.yellowpages.ca/locations/Nova-Scotia/Upper+Leitches+Creek/
Canada,https://www.yellowpages.ca/locations/,Nova Scotia,https://www.yellowpages.ca/locations/Nova-Scotia,Upper Musquodoboit,https://www.yellowpages.ca/locations/Nova-Scotia/Upper+Musquodoboit/
Canada,https://www.yellowpages.ca/locations/,Nova Scotia,https://www.yellowpages.ca/locations/Nova-Scotia,Upper Nine Mile River,https://www.yellowpages.ca/locations/Nova-Scotia/Upper+Nine+Mile+River/
Canada,https://www.yellowpages.ca/locations/,Nova Scotia,https://www.yellowpages.ca/locations/Nova-Scotia,Upper North Sydney,https://www.yellowpages.ca/locations/Nova-Scotia/Upper+North+Sydney/
Canada,https://www.yellowpages.ca/locations/,Nova Scotia,https://www.yellowpages.ca/locations/Nova-Scotia,Upper Port la Tour,https://www.yellowpages.ca/locations/Nova-Scotia/Upper+Port+la+Tour/
Canada,https://www.yellowpages.ca/locations/,Nova Scotia,https://www.yellowpages.ca/locations/Nova-Scotia,Upper Rawdon,https://www.yellowpages.ca/locations/Nova-Scotia/Upper+Rawdon/
Canada,https://www.yellowpages.ca/locations/,Nova Scotia,https://www.yellowpages.ca/locations/Nova-Scotia,Upper Stewiacke,https://www.yellowpages.ca/locations/Nova-Scotia/Upper+Stewiacke/
Canada,https://www.yellowpages.ca/locations/,Nova Scotia,https://www.yellowpages.ca/locations/Nova-Scotia,Upper Washabuck,https://www.yellowpages.ca/locations/Nova-Scotia/Upper+Washabuck/
Canada,https://www.yellowpages.ca/locations/,New Brunswick,https://www.yellowpages.ca/locations/New-Brunswick,Zealand,https://www.yellowpages.ca/locations/New-Brunswick/Zealand/
Canada,https://www.yellowpages.ca/locations/,New Brunswick,https://www.yellowpages.ca/locations/New-Brunswick,Zionville,https://www.yellowpages.ca/locations/New-Brunswick/Zionville/
